txt_id,text,dataset
LIPITOR.985,sudden onset severe depression. It worked very well the first time it was prescribed and I lost 20 pounds using it with exercise and diet. When this medication was combined with a SSRI it failed to reduce my HDL cholesterol in a meaningful amount and it caused intense anxiety attacks and short periods of intense depression. ,CADEC
LIPITOR.588,"Pain in hip, lower back, knees & elbow. Stiffness in lower back and legs when getting up in the morning. Excercise intolerance and general muscle weakness. I ask my doctor about these pains months ago and he said lipitor would not cause my problems. However, after reading the common side effects with others on this site, I will stop this medication immediately, it not worth feeling like an old man at age 46!. ",CADEC
LIPITOR.577,It dropped my cholestrol down fast. My liver tests are good. I take 20mg a night. Cholestrol runs about 200. ,CADEC
LIPITOR.211,"insomnia, muscle aches. It's 1:00am, taking 10 mg, haven't slept in over a week. Plan to stop taking Lipitor tomorrow. It did lower my cholesterol tho. ",CADEC
LIPITOR.205,"Alopecia, nausea, vomiting, severe back and hip pain, depression, dark thoughts, overwhelming exhaustion and muscle fatigue, sleeplessness, facial paralysis, loss of quality of life. Have been on Lipitor for approx. 2 1/2 years. Within 5 months experienced alopecia, which I had never had before and excused as stress related. Nausea and vomiting began several months later, if taken within a 3-4 hours of eating. Then within a year of being on the medication, I experienced severe facial paralysis diagnosed as Bell's Palsey. Severe hip and back pain followed, along with depression, thoughts of suicide and paranoia. The overwhelming exhaustion that I felt every morning for over a year intensified. I have tried altering when I take Lipitor but it did not help with the nausea. I stopped taking the Lipitor 45 days ago after I began to experience hair loss again. I researched Lipitor in a pharmacy book and realized hair loss, along with most of my other ailments, were side effects. I started noticing improvement during the first 30 days. At 45 days, my facial paralysis is 99% gone, I wake rested, my back and hip pain are slowly improving and my overall mental wellbein. ",CADEC
LIPITOR.563,"I have been taking lipitor for 3 years. I though the side effects was just me. It wasn't until I talked to a friend and she told me about her boyfriends side effects, it was like she was talking ab out me. Memory loss, joint pain, swollen feet and hands, sore ribs, inability to sleep well, no sex drive, moodiness, always tired, lack of energy, increased heart rate, headaches every day, and dry joints. This all became worst when my dose was increased from 40mg to 80 mg 3 months ago. I have now decided to try other methods to reduce my cholesterol. (Mine is hereditary). I have a wonderful chiro whom suggested I try lecithin, with Omega 3, and Vit C. Here goes, I hope to be to get back to my walk of 6km a day. ",CADEC
VOLTAREN.22,"Severe stomach cramps and diarrhea. I will never use it again, worst drug ever. ",CADEC
ARTHROTEC.2,"heartburn, nausea, frequent feelings of voracious hunger & sharp unbearable cramping pains in lower gut. Did not seem to make a lot of difference to the pain it was supposed to be treating. Stopped taking it after 13 days, prefer the pain in my forearms. ",CADEC
LIPITOR.239,"Immediatly reduced my cholesterol. Over the 12 years my health has weakened in many ways that I noticed some of you other posters have mentioned. Is it because we are aging? Or the drug? Symptoms. here goes. Depression. Back surgery but the afterpain was unexplained? Maybe Lipitor? Hips are sore and lower back pain. Vision reduced greatly. Hair loss. Tired most of the time. Can't get to sleep and then can't get out of bed till late morning or midday. No strength. Loss of breath. So if a person goes off this, what is the drug alternative to keeping the cholesterol down? I am thinking of stopping the lipitor and going on a diet to prevent the cholesterol from rising. Any other suggestions would be greatly appreciated. Good luck to you all. ",CADEC
VOLTAREN.36,"I have a slipped vertabrae and a degenerative disk. This medicine has been extrememly helpful. I don't take it daily, but at the first sign of a flare and it helps almost immediately. I tried Relafen, vicodine, flexeril and OTC pain relief and nothing has helped like this. ",CADEC
LIPITOR.403,"I have been on this medication for approximately two years and it has been very affective in lowering my cholesterol; however, I did notice that I became depressed with intermittent muscle pain. I recently mentioned this to my physician and asked if he knew if this particular medication causes these symptoms as all my blood studies for liver function, etc have been normal. I decided to stop the Lipitor and within a few days I felt so much better. I will call him tomorrow and ask if I can be switched to another medication. It is a very effective medication, but obviously has its problems as indicated by those patients who had very similar effects. ",CADEC
LIPITOR.365,"this was the last shot at using a statin to reduce cholesterol ldl. I have tried all the statin drugs, you know the very expensive drug of choice for all the doc's out there. For all of you who now have extremely low LDL and a bad case of joint pain to the extent that it is very arthritic or having bad muscle cramps that you never got prior to the drug, it is from the statins. The drug is able to decrease LDL through a mechanism which also destroys and depletes your bodies ability to make CoQ10. This is necessary for they health of muscles and joints (that's why you are experiencing the joint pains and numbness). Remember your heart is a muscle, guess what is happening to it with the depletion of the CoQ10??? If you do some research on the internet, you will find that all these statins make no claims/nor have studies shown them to reduce heart attacks, but they cause muscle problems i.e. your heart, this is based on the fact that they put younger and younger people on these drugs and. I would recommend that you do your own research versus just listening to the doctor who wants your LDL down to like below 130, neurosurgeons, who have studied this would tell you not to get it all too low. And just because your test come back and show your liver functions are fine and don't show any broken down muscle toxins in the blood doesn't mean the lack of CoQ10 isn't breaking down and damaging your muscles very slowly. Mine always showed fine and I had severe arthritis symptoms in knees and hip joints (never had this in my life before statins) and bad muscle cramps (also never got those until statins). Granted is you have high blood pressure, high LDL, over weight and maybe smoke, then you probably need something to lower the LDL, if you only have high LDL, you don't. Read the drug company studies, they even say it may help prevent a heart attack when you have 3 of the aforementioned risk factors. ",CADEC
LIPITOR.371,"back pain, aching joints and muscles, flatulence and wind,hair loss. ",CADEC
LIPITOR.417,"Blurred vision, dizziness, brain. I will never, ever take Lipitor again. I have been on it for more than four years. I've taken myself off of it twice. Most recently, been taking 80 mg. for two weeks. Enough already! I can't tell you how I regained my sanity when I found this on the web. Do your own research - don't blindly follow doctors who just push pills without regard to long term damage. This is the number one prescribed medicine in the US right now, don't expect it to go away unless we stand against Pfizer and the FDA. ",CADEC
ARTHROTEC.17,"just took the drug about 30 minutes ago and am now experiencing the worst abdominal pain ever, like mentstrual cramps/diarreah cramping combined. i had to keep dropping into a crouched position due to the severity of the lower abdominal pain. i was put on this medication because i was taking such high doses of Advil to quell the inflammation in my neck and back muscles that it caused me to have a GI bleed. but after this little episode, and after reading that it can cause heavy menstrual bleeding, i highly doubt this drug is the best fit for my problem!! i already have anemia due to the gastric bleed. how could my doctor not think of this? i'm also starting to feel dizzy and light headed, and can feel acidic bile at the back of my throat. great!! :|. ",CADEC
LIPITOR.359,"I used to take Provachol (sp?)but I found it caused extreme bloating. It also seem to increase my heart rate therefore could not sleep well. I requested to take Lipitor (10mg). I have been taking it for about three months now. I will go for a blood test within a few days so we'll see how good it did its job. As far as side effects are concerned, I find that Lipitor also causes bloating and a great deal of gas build up although not as badly as my previous medication. I'm finding it difficult to fit into my clothes due to the bloating. I also find that it makes me a bit drowsy, almost like a sleeping pill. I therefore take it at bedtime but my sleep is not very sound and therefore not refreshing. I developed a pain that seems to originate at the base of my neck, travel down to my shoulder blades and then run to my shoulders, elbow and wrist. I first attributed this to work stress because I do a great deal of computer work. I thought perhaps that I was getting tendonitis looking at th. I have begun to take charge of fighting back against the side effects and have been taking multivitamins, B complex, CoQ10, and GasX for bloating. I can honestly say that today is the first day in months that I have felt really well. very little gas, almost no pain. I'll keep tabs on this and will report back on my ldh levels. My father used to take this drug and he also experienced bloating and gas. He took Tums to alliviate stomach upsets and also cut his Lipitor dose in half. ",CADEC
LIPITOR.198,I just took this drug (10mg)for the first time. After 2 hours I felt a warm sensation in my chest then pain then a headache. My Cholesterol level is 150. Why would my doctor recommend this drug?. ,CADEC
LIPITOR.826,"Achilles Tendonsitis, foot pain, weakness in upper arm muscles, severe knee pain, gas, arthritis like symptoms in hands, swelling of ankles, shin pain, increased fatigue and occasional leg cramps. Until I found this site I could not understand why. ",CADEC
LIPITOR.832,"Got shingles, and was told by a doctor the shingles resulted from the depletion of CoQ10 caused by the Lipitor. A research article in JAMA, 2004;291:2243-2252 concludes this:. ",CADEC
LIPITOR.167,"heaviness in the legs, foot and leg cramps at night and even long muscles beside spine, those are the worst. rashes on forearms from sun sensitivity, scarred from itching and scabs (was taking St John's Wort for depression which also causes sun sensitivity, bad combination) cannot take at night or I'm up all night in bathroom. Less side effects from Lipitor than any other statin drug I've tried. Pravachol pushed cholesterol out my skin in boils. Lopids made me feel like I was coming down with the flu constantly, low grade fever and just felt sick all the time. Lipitor keeps me from getting sick, 3-4 days off of them and I'm up all night sick. ",CADEC
LIPITOR.601,"I've really had no side affects what so ever. I have blood work done regualarly to check my cholesterol levels. I've had high cholesterol since I was 19, now I'm 38 and have been on this medication since 1997. My cholesterol is still high but not as high. In Canada the rating should be below 5.20, with being on this medication its still about 6.24 were in 1997 my level was 8.45. Its come down quite a bit, but I do exercise and watch what I eat as well. ",CADEC
LIPITOR.615,muscle pain related to shoulders. ,CADEC
LIPITOR.173,After only 3 weeks on 10 mg of Lipitor I called my Dr to discontinue. I have recently begun a workout regimine 6 days a week doing elliptical training and weight training. After workouts I would be so tired to the point where I was going to bed at 8pm (I'm normally a night-owl). I was mostly feeling drained and tired which was unusual for me and didn't feel that way previous to taking the drug. I have also experienced tingling or a sense of my hand being asleep (example: if you lay on it wrong and it's numb-like). I have only been off one day. but have already slept better than I had in the 3 wks on it. Don't know if it worked to lower my cholesterol since I wasn't on it for the 6 wks to do the bloodwork. I am going to try to lower it naturally through exercise and diet instead of the drug. not sure it's worth the side effects. Stay in tune with your body. I elected to discontinue immediately with onset of side effects. Will consider other alternatives. ,CADEC
CATAFLAM.7,"Absolutely none!. I was originally taking 150mg per day, but cut it to 100mg because the lesser dose seemed to work as well. My internist had urged me to take Vioxx, Celebrx and Bextra (at different times, of course), but the relief I experienced was not as dramatic as the Cataflam. My orthopaedic surgeon prescribes the Cataflam. It has a slight effect on my blood pressure, but, since my pressure is usually low, that is not considered a health risk. ",CADEC
LIPITOR.629,"Back pain, Lipitor seems to be involved. In November of 2005 I was prescribed Lipitor for elevated cholesterol. Not really high, but high enough, dosage was only 20 mg per day. Within two months, I had developed wicked back pain, along with neuropathy and hypersensitivity that wrapped around my abdomen. We suspected the Lipitor was involved, so I went off it, since my numbers had gotten really low. I was effectively laid up for about six months. Since there was no immediate improvement, we surmised that Lipitor wasn't causing this. It's October 2006 now, and I'm starting to feel more like myself, still hurts but I can work around it. The cholesterol has crept up, so two weeks ago we started the Lipitor again, and within a few days I was paractically flat on my back again! So, I've stopped again. It's a bloody shame this is happening, as the drug was extremely effective in dropping that cholesterol. Too bad, we're going to have to try something else, I guess. ",CADEC
LIPITOR.628,No noticeable side effects. Lowered cholesterol and triglycerides . ,CADEC
CATAFLAM.6,"Lower gut pain, diahrrea. This is the only NSAID I've ever taken that gave me discernable relief within 90 minutes of taking it. Gastrointestinal problems were due largely to my taking the drug too close together, or after having consumed large amounts of alcohol. ",CADEC
LIPITOR.614,"After a routine check up my cholesterol level was found to be sky high. So two months ago the internist put me on Lipitor for high cholesterol. The lipitor helped in reducing the cholesterol level by 20%. The side effects were terrible! I had for a number of years pain in my hipjoints. The lipitor increased the pain tenfold. I could hardly walk, sit or drive the car. The pain I was experiencing especially around the hipjoints was incredible. I told the specialist about these side-effects and he told me to reduce the dose from 1 a day to 1 every two days!? I had already stopped taking the lipitor for a week and the pain had decreased somewhat. I learned from the pharmacist that this drug can cause wasting of muscles and that it was possible to end up in a wheelchair because of it!! I am going to start on alternative medicines. I am never going to use this medicine again!. ",CADEC
LIPITOR.172,"Sleeping all day and night - exhaustion. 10mg started two weeks ago - have slept soundly 30 of the last 48 hours. But even when awake, feel exhausted. Can't continue this way. Will ask physician for alternative at next visit. Normally have high energy and sleep average of 6 to 7 hrs per day. Haven't been back yet for blood work to establish reduction numbers. ",CADEC
LIPITOR.166,tinnitus. ,CADEC
LIPITOR.600,"None identified. Currently taking 20 mg/day. Has reduced LDL and total cholesterol effectively (latter to ca. 100), but HDL is still low. ",CADEC
LIPITOR.833,"I am female, age 55 and generally in good health. No smoking or drinking and work daily. Wt is 15 lbs more than it should be. Cholesterol has been high for years despite diet. Taking 40mg daily for 1 year, took 20mg previously. Lately I realized everything hurts. It crept up on me. I am an RN and still did not put it together until this week when I decided something is not right. When the aches and pains were mild I thought it was arthritis or too much activity. Stopped the Lipitor and the generalized aches and pains are fading after just 3 days. Will explore other options but these drugs have not been around long enough to confirm long term effects. Looking at this site, I will begin to ask my patients that are on statins about their history. ",CADEC
LIPITOR.199,"insommnia, loss of dreaming, inability to visualize; muscle pain, weakness, atrophy; tendinitis, tendinopathy, tendon contracture; miniscus damage; working memory and short-term memory loss, language and learning ability loss including spoken and written aphasia and inability to read; gall bladder disease, pancreatitis, acid reflux; inability to walk. I kept taking myself off this drug, was told it COULD NOT BE TH E DRUG, urged to go back on, recovering somewhat each time, but finally the damage was not reversible. Today, I live with Lipitor and (other statins) injury which affects my ability to work, and I continue to try to recover. After long and only partial recovery from Lipitor I took two other statins with similar response. My cholesterol level is over 480. I have no cardiovascular disease, and see that according to this evidence based medicine source, there is NO evidence for statins in women for prevention. Do statins have a role in primary prevention? NO! http://www.ti.ubc.ca/pages/letter48.htm#comment A question to us about Letter #48: What is the evidence of benefit for primary prevention in women? There were 10,990 women in the primary prevention trials (28% of the total). Only coronary events were reported for women, but when these were pooled they were not reduced by statin therapy, RR 0.98 [0.85-1.12]. Thus the coronary benefit in primary prevention trials appears to be limited to men, RR 0.74 [0.68-0.81], ARR 2.0%, NNT 50 for 3 to 5 years. . ",CADEC
LIPITOR.827,"right hand tremor, affected gait--small steps, hunched over position, slowness in movement,. I think lipitor therapy of 4+ yrs cauased parkinson's diagnosis. i wonder if there is a genetic component related to this--if some people with genetic variability suffered an interaction with statin (as the environmental agent) to produce this neurodegenerative disease. however rarely this occurs, given taht there are millions of people taking this class of drugs, if it is due to genetic variability, there could be enormous numbers of people suffering from neuro symptoms. i have heard from people who think their amyotrophic lateral sclerosis is due to statins, and from people who think their parkinson/s is due to statins. others have questioned the diagnosis of alzheimer's and the use of aa statin. given taht these 3 neurodegenerative diseases are thought to be due to the same underlying molecular pathology, it is not a far fetched question--do statins indue neurodegenerative diseases in susceptible individuals?????. ",CADEC
ARTHROTEC.16,"I was prescribed this drug because I had spent a whole night in complete agony; abdominal pain, lower back pain, all that I imagine labor pain to be, except I was not in labor. Though the cause of my pain remains undetermined, the Arthrotec combined with Paracetamol pretty much eliminated the pain. This was a big relief, as the 1200 MG of Ibuprofen I had taken throughout the night had done nothing. I only took 1 Arthrotec and 1 Paracetamol and that did the trick. HOWEVER: I had a very bad headache yesterday and Ibuprofen again didn't work. I still had the other Arthrotec pills left, so I took one. Although it alleviated the pain, I got up this morning with heavy vaginal bleeding even though my period ended last week. I was relieved to read that this could be a side effect, as it means I probably don't have something serious, but I will have to be in some serious pain to risk bleeding from the vagina again. Next time I'll try my luck with Paracetamol. The pill I took consisted of 50 MG Diclofenac and 200 MG Misoprostol. ",CADEC
LIPITOR.358,"Developed higher levels of muscular aches and pains including joint discomfort all over the body with a stronger concentration in legs, ankles and feet also a heaviness. Constant feeling of fatigue. Struggling with minimal weight gain, up and down. Some depression but could be related to onset of menopause. Some frequent upper abdominal discomfort. Intitally was placed on Crestor in conjunction with excercise and lifestyle change and developed severe polyathralgia in ankles and leg joints, to the point of not being able to walk and no significant reduction in cholesterol. Stopped cholesterol lowering drugs for one year under Dr's recommendation, with excercise and lifestyle change warranting no positive results. Taking Lipitor at present and have been for six months with significant positive results after three months, also in conjunction with excercise and lifestyle change. Dr and I have agreed to continue use of Lipitor unless symptoms worsen, will discuss other options at that junction. Quite satisfied with Lipitors ability to lower my cholesterol. Discourage with the side effects as they have seemed to have worsen. Family history of Heart desease, diabetes, and high blood pressure, all of which I have not inherited so far, thank G-d. So for now I stay on Lipitor with the hope that my symptoms will disapear. My Cholesterol is. ",CADEC
LIPITOR.370,very productive cough. Doctor said it couldn't possibly b e that - I stopped in two days cough had gone. ,CADEC
LIPITOR.416,it works. ,CADEC
LIPITOR.402,leg pain. quit taking condition improved. ,CADEC
LIPITOR.364,"muscle weakness, extreme fatigue, can't sleep good, muscle aches and pain. I am going to quit taking it. ",CADEC
LIPITOR.238,"general weakness, decreased stamina. ",CADEC
VOLTAREN.37,"Lots of stomach gurgling after eating, which has been consistent even after adjusting to the medication, and initial doses gave diarrhea for a few days. I have switched to taking it with a snack before bedtime with good results. For me, it has been very effective pain relief for my chronic bone/joint pain from a broken elbow. So effective that I was able to substantially reduce the amount of narcotic pain reliever I was using once the Voltaren kicked in after about 2 days. ",CADEC
VOLTAREN.23,"It helps relieve chronic pain but over time, causes intestinal pain and bleeding. I had symptoms similar to diverticulitis: blood in stool, pain. I would be cautious about paying attention to cramping, intestinal/stomach pain which can lead to very serious conditions. ",CADEC
ARTHROTEC.3,"Constipation right from the start and in ladt 4 weeks extreme joint pain at night (just few hours after taking tablets). Pain so bad it disrupted my sleep co pletely. also, extreme itching on legs and arms, so bad I scrathced myself raw. mobility has DECREASED rapidly, especially when trying to go down stairs. Was warned about possibility of constipation but think doctor underestimated how severe it would get. Arthrotec was supposed to ease my pain not make it worse. Have stopped taking and immediatedly muscle/joint pain eased and sleeping much better. Have reverted to use of co-codamol to ease symptoms as required. ",CADEC
LIPITOR.204,"I added a rating about a month ago. At that time, I just stopped taking Lipitor after only three weeks because of the major side effects I experienced. Many of the side effects have lifted however I am still experiencing sore and stiff hips, knees, ankles and feet. I feel like the lower half of my body belongs to a much older person than me, I'm only 48 years old but feel 90. I am very concerned that I may have permanent damage done to my legs because of only three weeks on this drug. Is anyone else experiencing this lasting effect from Lipitor?. ",CADEC
LIPITOR.562,"After taking 3 or 4 times I started having very intense muscle pain with burning from the middle of my back and around my ribs to the center of my chest. It would last from a few minutes to a couple of hours and then fade away for awhile. I had the same intense muscle pain with intense burning in my arms, neck and sometimes my legs. I stopped taking it for a few days and tried it again with the same results. I stopped taking it but it took at least a month for the muscle pains to stop completely. My doctor had me try 2 or 3 other similar medications before this one with the same results. When I told him that I was still getting the muscle pains occasionally a couple weeks after I stopped taking it he said I was crazy. I'm now afraid to take any of the Cholesterol drugs. Every one that I've tried has had some really bad side effects. ",CADEC
LIPITOR.576,"hair fell out, insomnia, areas of fat under the skin became sore to the touch, last straw was ringing in the ears. I took 10mg of Lipitor daily for about 5 months. It did a fantastic job of lowering my cholesterol, and improving the good/bad ratio. Eventually, the insomnia, and the ringing in the ears (tinnitus) caused me to stop it. After 2 months on nothing I tried 5mg of Crestor (one dose), and had to lie in bed with a heating pad on my legs for the aching it caused (like the flu). I know many people who tolerate statin drugs without a problem, but for me, it's just not worth the side effects. I won't try again. ",CADEC
LIPITOR.210,"I took it for about 8 years, starting at age 25, with no side effects (at least, nothing I attributed to the Lipitor). Went off on a couple occasions to have a baby then right back on. After 8 years, suddenly started having severe weaknesses in my legs, specifically thigh muscles felt like I had been trying to run marathons with no exertion. Went off Lipitor and pain went away. Now I'm on Crestor and just started having even worse side effects :o(. This medication DID help lower my cholesterol, I was close to 300 when I started it (and I did eat healthy and exercise moderately at the time, it's hereditary for me). and I was taking 40 mg. to get my cholesterol down around 200. My mother has taken it for even longer at max dose (80 mg) and has had no side effects she attributes to the medication. The bottom line is, listen and pay attention to your body. everyone's body is different and some people can't take the same thing! My brother also tried Lipitor and he couldn't tolerate it, it made him fall asleep!. ",CADEC
LIPITOR.589,"taking it for 4 /5 years. Finally I stopped 3 days ago due to a high muscle enzyme and now after reading this site I have .realized all my problems due to this med Have ankle pain, neurophaty, vision problems, very tired, muscle pain. I am not ever going to take it. ",CADEC
LIPITOR.984,This med worked wonders for me. Am only gratefull to the pharmaceutical company that makes it. My lipids are at normal level in the past 2 H1C tests. As adiabetic you are at higher risk for stroke and heart attack so taking Lipitor defininitely lowers the risk. No side effects. Expensive medicine but luckily my insurance covers it. ,CADEC
LIPITOR.78,"Not much -- occasional itchiness. I was taking Red Yeast statins for chlolesterol of 230, but then big-pharma got in the picture and made that illegal. Don't know if that is still the case. My doctor said Lipitor was the most tested statin drug. My real concern is heart disease which is in my family. Not sure of how tight the correlation is between low chlosterol numbers and low risk of coronary problems. AMA dumbs down the information to make is sound like getting down to ridiculous levels (100) insures that you won't have problems. I doubt it. Probably much more based on genetic history. So Lipitor is great for reducing your numbers, but extending your life ???. ",CADEC
LIPITOR.748,"aching joints: wrists, elbows, shoulders, knees, and gas. lowered my cholesterol, but i cannot sleep through the night. ",CADEC
LIPITOR.990,"Short term memory affected, loss of concentration levels, Dizzy, hightened Anxiety Levels,generaly feeling unwell like walking in a daze (Zombie like) Weakness in Leg Muscles. All of these where a gradual onset over time making it harder to identify the course. Terrible Medication! Ruined me every day quality of life! I was not surprised that many People reported similar and worst effects. Stay off it and find some other means to controll your cholesterol if you can. Big Money spinner for Lipitor who m ake Billions from it each year and it is making People quite sick. Naturepath for my options. ",CADEC
LIPITOR.760,"After almost 1 year on 10 mg/day, woke up one morning with right foot turned at right angle. Unable to straighten it and doctors unable to find a reason for it. Walked like that for about six months with increasing pain, especially in right thigh which felt. I'm so disillusioned with the drug companies and the FDA that I won't take anything my doctor recommends again. Lipitor has robbed me and my family of my former active self and I have no idea whether I will ever return to normal. Will try the CoQ10 idea and also physical therapy to try to realign everything from my hips down so I can move normally again. DO NOT TAKE THIS DRUG! IT IS NOT WORTH TRADING YOUR QUALITY OF LIFE FOR A LOWER CHOLESTEROL NUMBER!!! I too would like to join a class action suit, as I feel Pfizer was well aware of the damage this drug could do. ",CADEC
LIPITOR.50,Mild muscle pain. Tried Crestor and generic Zocor and couldn't tolerate the side effects. Started Lipitor and after 6 weeks my blood work showed great improvement. Total was 251-now 156. LDL was 176-now 91. HDL is now 51. Triglycerides were 96-now 69. Very glad I gave Lipitor a try. ,CADEC
LIPITOR.44,"It either caused or gave me peripheral neuropathy in my hands, arms, feet and legs. And it damaged my liver. No one should ever take a statin. It should be taken off the market. ",CADEC
SOLARAZE.1,Very little if any!. ,CADEC
LIPITOR.774,"HORRIBLE GAS AND CONSTIPATION. My trigycerides and cholesterol were all normal and healhty ranges, before taking Lipitor. But because of a high C-reactive protein level, I was prescribed Lipitor. After 3 months, My trigycerides and total cholesteral went down, even though they were fine to begin with, but my CRP level went UP!!! From 5.96 to 13.2!! Since treating the CRP levels was the initial purpose in prescribing me Lipitor, and since it did NOTHING to help these levels, I am therefore unsure if taking LIPITOR for high C-reactive protein levels is necessary, let alone effective. I can't deal with this gas much longer. ",CADEC
LIPITOR.947,"Toe tinglingling, numbness in toes, feel like I am in a fog most of the day, memory impaired, hair loss ( major symptom for me), low grade headache, vision impaired, calf pain.  Lipitor does help reduce total serum cholesterol considerably in many patients but the side effects of this 'poisonous' medication are extremely alarming. I fail to comprehend why this medication is still permitted to be on the market as there is evidence that those who have been on long term have suffered irreversible muscle damage plus other permanent side effects. How come no one has sued the manufacturers as yet? Do patients have to die first before a pharmaceutical entity can be sued? Surely some of the people who have written in to this site should get together and institute litigation?. ",CADEC
LIPITOR.953,Blury vision. bad balance. ,CADEC
LIPITOR.93,"Stomach problems, muscle pain, mood swings, headaches, joint pain. ",CADEC
LIPITOR.87,Ruined my physical ability to do anything. Muscles no more. Weak all the time. I will never take another one these pills. Doctors are pill pushers getting paid by the drug makers. Wake up America !!. ,CADEC
LIPITOR.91,"Severe back pain muscles pain loss of energy, depression. My doctor put me on several other drugs to heal these pains- thyroid, testonrone, trazadone. I just went to a naturopath and stopped the Lipitor. Since stopping lipitor I feel I am getting my life back. ",CADEC
